popularity,budget,revenue,original_title,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,casts,directors,genres,production_companies
32.985763,150000000.0,1513528810.0,Jurassic World,124.0,2015-06-09,5562,6.5,2015,137999939.280026,1392445892.5238,"Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Vincent D'Onofrio,Nick Robinson",Colin Trevorrow,"Action,Adventure,Science Fiction,Thriller","Universal Studios,Amblin Entertainment,Legendary Pictures,Fuji Television Network,Dentsu"
28.419936,150000000.0,378436354.0,Mad Max: Fury Road,120.0,2015-05-13,6185,7.1,2015,137999939.280026,348161292.489031,"Tom Hardy,Charlize Theron,Hugh Keays-Byrne,Nicholas Hoult,Josh Helman",George Miller,"Action,Adventure,Science Fiction,Thriller","Village Roadshow Pictures,Kennedy Miller Productions"
13.112507,110000000.0,295238201.0,Insurgent,119.0,2015-03-18,2480,6.3,2015,101199955.472019,271619025.407628,"Shailene Woodley,Theo James,Kate Winslet,Ansel Elgort,Miles Teller",Robert Schwentke,"Adventure,Science Fiction,Thriller","Summit Entertainment,Mandeville Films,Red Wagon Entertainment,NeoReel"
11.173104,200000000.0,2068178225.0,Star Wars: The Force Awakens,136.0,2015-12-15,5292,7.5,2015,183999919.040035,1902723129.80182,"Harrison Ford,Mark Hamill,Carrie Fisher,Adam Driver,Daisy Ridley",J.J. Abrams,"Action,Adventure,Science Fiction,Fantasy","Lucasfilm,Truenorth Productions,Bad Robot"
9.335014,190000000.0,1506249360.0,Furious 7,137.0,2015-04-01,2947,7.3,2015,174799923.088033,1385748801.47052,"Vin Diesel,Paul Walker,Jason Statham,Michelle Rodriguez,Dwayne Johnson",James Wan,"Action,Crime,Thriller","Universal Pictures,Original Film,Media Rights Capital,Dentsu,One Race Films"
9.1107,135000000.0,532950503.0,The Revenant,156.0,2015-12-25,3929,7.2,2015,124199945.352024,490314247.021731,"Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,Paul Anderson",Alejandro GonzÃ¡lez IÃ±Ã¡rritu,"Western,Drama,Adventure,Thriller","Regency Enterprises,Appian Way,CatchPlay,Anonymous Content,New Regency Pictures"
8.654359,155000000.0,440603537.0,Terminator Genisys,125.0,2015-06-23,2598,5.8,2015,142599937.256027,405355075.683766,"Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Jai Courtney,J.K. Simmons",Alan Taylor,"Science Fiction,Action,Thriller,Adventure","Paramount Pictures,Skydance Productions"
7.6674,108000000.0,595380321.0,The Martian,141.0,2015-09-30,4572,7.6,2015,99359956.2816192,547749654.310152,"Matt Damon,Jessica Chastain,Kristen Wiig,Jeff Daniels,Michael PeÃ±a",Ridley Scott,"Drama,Adventure,Science Fiction","Twentieth Century Fox Film Corporation,Scott Free Productions,Mid Atlantic Films,International Traders,TSG Entertainment"
7.40416499999999,74000000.0,1156730962.0,Minions,91.0,2015-06-17,2893,6.5,2015,68079970.0448131,1064192016.79551,"Sandra Bullock,Jon Hamm,Michael Keaton,Allison Janney,Steve Coogan","Kyle Balda,Pierre Coffin","Family,Animation,Adventure,Comedy","Universal Pictures,Illumination Entertainment"
6.326804,175000000.0,853708609.0,Inside Out,94.0,2015-06-09,3935,8.0,2015,160999929.160031,785411574.698907,"Amy Poehler,Phyllis Smith,Richard Kind,Bill Hader,Lewis Black",Pete Docter,"Comedy,Animation,Family","Walt Disney Pictures,Pixar Animation Studios,Walt Disney Studios Motion Pictures"
